TIME,OCALLS,MAX
2184403176,50,100000000
2192077734,100,100000000
2220176674,200,100000000
2193644746,500,100000000
2203385132,1000,100000000
2222519198,2000,100000000
2284912616,5000,100000000
2378364370,10000,100000000
2576723900,20000,100000000
3174546408,50000,100000000
4189299570,100000,100000000
6088571052,200000,100000000
12048962320,500000,100000000
21840695170,1000000,100000000
2182443978,10,100000000
2191518816,20,100000000
2183720292,50,100000000
2187220428,100,100000000
2188033494,200,100000000
2196740498,500,100000000
2247936464,1000,100000000
2224739532,2000,100000000
2281888944,5000,100000000
2378685594,10000,100000000
2579941586,20000,100000000
3182595120,50000,100000000
4180713772,100000,100000000
6108795640,200000,100000000
12059886374,500000,100000000
21796493700,1000000,100000000
2185547520,10,100000000
2184180634,20,100000000
2186076614,50,100000000
2185848712,100,100000000
2184993076,200,100000000
2192770208,500,100000000
2202843340,1000,100000000
2225169934,2000,100000000
2306032986,5000,100000000
2377854344,10000,100000000
2572282536,20000,100000000
3157744406,50000,100000000
4132699060,100000,100000000
6086949806,200000,100000000
12060534716,500000,100000000
21702750674,1000000,100000000
2181361690,10,100000000
2196624610,20,100000000
2185227422,50,100000000
2183950012,100,100000000
2186979424,200,100000000
2192673838,500,100000000
2247564186,1000,100000000
2224659172,2000,100000000
2284156470,5000,100000000
2381954086,10000,100000000
2575906442,20000,100000000
3159438468,50000,100000000
4137035518,100000,100000000
6152666644,200000,100000000
11953653114,500000,100000000
22000990660,1000000,100000000
2182647502,10,100000000
2183635138,20,100000000
2184400108,50,100000000
2197850694,100,100000000
2187839116,200,100000000
2193947028,500,100000000
2201578816,1000,100000000
2223230686,2000,100000000
2314038410,5000,100000000
2377208114,10000,100000000
2576747004,20000,100000000
3193953502,50000,100000000
4152667352,100000,100000000
6175822452,200000,100000000
11951862576,500000,100000000
21801584162,1000000,100000000
2185263830,10,100000000
2243970804,20,100000000
2184728222,50,100000000
2186473570,100,100000000
2187230516,200,100000000
2210229664,500,100000000
2234841180,1000,100000000
2225698198,2000,100000000
2283889358,5000,100000000
2378725738,10000,100000000
2574037384,20000,100000000
3163386866,50000,100000000
4162995470,100000,100000000
6144910294,200000,100000000
11949970910,500000,100000000
21939756784,1000000,100000000
2184171972,10,100000000
2185394572,20,100000000
2183947440,50,100000000
2192415042,100,100000000
2188403774,200,100000000
2193749324,500,100000000
2206069840,1000,100000000
2241150200,2000,100000000
2314525784,5000,100000000
2379512210,10000,100000000
2577495316,20000,100000000
3171597668,50000,100000000
4161592054,100000,100000000
6185011876,200000,100000000
11950574132,500000,100000000
