TIME,OWRITE,PAYLOAD
464834,1,1024
432942,1,1024
427964,1,1024
439098,1,1024
500362,1,1024
504504,1,1024
433602,1,1024
344242,1,1024
340532,1,1024
344016,1,1024
430972,1,1024
413336,1,1024
344184,1,1024
344910,1,1024
342996,1,1024
374014,1,1024
342384,1,1024
342644,1,1024
343672,1,1024
343806,1,1024
344442,1,1024
342788,1,1024
345212,1,1024
342052,1,1024
347088,1,1024
345070,1,1024
344438,1,1024
343664,1,1024
346154,1,1024
382530,1,1024
341952,1,1024
343782,1,1024
346180,1,1024
342624,1,1024
342714,1,1024
343922,1,1024
343088,1,1024
345446,1,1024
342786,1,1024
342470,1,1024
344638,1,1024
340754,1,1024
342616,1,1024
563100,1,1024
333016,1,1024
330164,1,1024
329716,1,1024
330130,1,1024
331382,1,1024
330458,1,1024
330398,1,1024
332810,1,1024
333324,1,1024
331628,1,1024
330178,1,1024
331478,1,1024
367162,1,1024
430348,1,1024
329042,1,1024
330936,1,1024
330582,1,1024
329140,1,1024
332366,1,1024
331066,1,1024
330690,1,1024
377742,1,1024
330676,1,1024
328830,1,1024
332014,1,1024
330248,1,1024
331598,1,1024
333992,1,1024
330648,1,1024
330886,1,1024
330682,1,1024
329804,1,1024
330724,1,1024
332876,1,1024
332120,1,1024
333046,1,1024
329278,1,1024
330232,1,1024
331524,1,1024
331864,1,1024
331260,1,1024
330326,1,1024
332020,1,1024
332874,1,1024
330878,1,1024
331202,1,1024
331308,1,1024
370840,1,1024
331392,1,1024
332008,1,1024
330944,1,1024
329724,1,1024
330546,1,1024
329984,1,1024
332200,1,1024
331738,1,1024
337070,1,1024
331002,1,1024
415286,1,1024
330380,1,1024
330872,1,1024
331540,1,1024
329758,1,1024
331542,1,1024
329426,1,1024
329238,1,1024
330224,1,1024
331112,1,1024
330984,1,1024
330748,1,1024
386960,1,1024
329414,1,1024
332018,1,1024
331392,1,1024
331530,1,1024
331342,1,1024
331486,1,1024
329608,1,1024
409724,1,1024
333064,1,1024
332322,1,1024
333590,1,1024
330386,1,1024
329580,1,1024
356004,1,1024
331436,1,1024
332080,1,1024
331020,1,1024
329772,1,1024
332276,1,1024
331362,1,1024
332158,1,1024
332752,1,1024
331220,1,1024
330800,1,1024
330464,1,1024
331070,1,1024
330996,1,1024
330938,1,1024
369548,1,1024
331474,1,1024
330776,1,1024
331254,1,1024
332342,1,1024
330870,1,1024
331150,1,1024
329116,1,1024
331986,1,1024
331954,1,1024
330170,1,1024
331210,1,1024
329720,1,1024
330738,1,1024
332868,1,1024
329520,1,1024
330236,1,1024
328302,1,1024
328696,1,1024
328404,1,1024
329444,1,1024
329600,1,1024
330960,1,1024
328906,1,1024
330144,1,1024
329718,1,1024
329952,1,1024
329788,1,1024
402148,1,1024
511672,1,1024
449130,1,1024
533770,1,1024
487274,1,1024
509626,1,1024
471014,1,1024
425480,1,1024
431578,1,1024
425050,1,1024
349952,1,1024
345600,1,1024
342550,1,1024
340688,1,1024
341652,1,1024
342558,1,1024
341682,1,1024
341574,1,1024
341016,1,1024
342824,1,1024
342988,1,1024
341024,1,1024
342708,1,1024
342230,1,1024
342702,1,1024
344266,1,1024
342544,1,1024
340942,1,1024
344640,1,1024
340010,1,1024
342804,1,1024
342824,1,1024
342898,1,1024
341390,1,1024
344384,1,1024
342114,1,1024
344072,1,1024
341626,1,1024
680816,1,1024
342042,1,1024
341258,1,1024
341548,1,1024
342166,1,1024
342956,1,1024
343618,1,1024
341928,1,1024
341612,1,1024
342972,1,1024
341982,1,1024
342148,1,1024
344814,1,1024
344064,1,1024
362352,1,1024
341388,1,1024
343606,1,1024
342790,1,1024
342674,1,1024
342796,1,1024
341994,1,1024
342644,1,1024
342734,1,1024
373430,1,1024
330612,1,1024
331280,1,1024
331040,1,1024
330490,1,1024
458866,1,1024
331432,1,1024
331764,1,1024
332900,1,1024
331846,1,1024
331942,1,1024
330728,1,1024
